cell_id,meeting_id,asr,osd,resolver,separation,language,asr_device,cer_concat,cer_low,cer_high,wer_concat,ref_chars,hyp_chars,subs,ins,del,spk_best_mapping_acc,spk_known_coverage,spk_unknown_coverage,spk_ref_n,spk_hyp_n,routing_accuracy,routing_f1,routing_support,overlap_recall,overlap_precision,overlap_f1,gt_overlap_s,hyp_overlap_s,events_count,llm_resolved_rate,fallback_resolved_rate,evidence_support,wall_time_s,rtf,audio_duration_s,exit_code
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=sepformer,R8007_M8010_MS803,faster-whisper,energy_fallback,none,sepformer,zh,cuda,0.6862625025515411,0.7726746955160917,0.8394230114989454,,14697,9127,4012,252,5822,0.5091863517060368,0.9578,0.0,5,4,0.5406824146981627,0.6880570409982175,381,0.6199266293444424,0.8087255850125129,0.7018510466622981,1046.74,802.3760000000019,381,0.0,0.5170603674540682,381,233.03870368003845,0.12567557125971718,1854.288,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=sepformer,R8007_M8011_MS806,faster-whisper,energy_fallback,none,sepformer,zh,cuda,0.467482920770118,0.4609173986336616,0.8232632419483631,,11271,10106,2146,979,2144,0.6485714285714286,0.9644,0.0122,5,6,0.5228571428571429,0.6263982102908277,350,0.4997854464971318,0.6500054339684707,0.5650823320323121,442.77999999999986,340.45100000000025,350,0.0,0.42,350,200.97636723518372,0.10810795673192836,1859.034,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=sepformer,R8008_M8013_MS807,faster-whisper,energy_fallback,none,sepformer,zh,cuda,0.5997987252599799,0.5883931566588393,0.9321256848932126,,8943,7187,2916,346,2102,0.5929368029739777,0.8307,0.0,4,3,0.5539033457249071,0.39999999999999997,538,0.2388175719262013,0.47799282136031906,0.31850287346432793,310.0399999999972,154.9039999999998,538,0.0,0.20631970260223048,538,177.03443479537964,0.07919267578713376,2235.49,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=sepformer,R8009_M8018_MS809,faster-whisper,energy_fallback,none,sepformer,zh,cuda,0.46005740253527866,0.3613967950251136,0.8166706529538388,,8362,9038,1611,1456,780,0.8140845070422535,0.962,0.0,3,3,0.5408450704225352,0.46204620462046203,355,0.31939810834050836,0.27284546396069814,0.29429217684785264,116.30000000000035,136.14299999999966,355,0.0,0.37464788732394366,355,173.23517894744873,0.10485680083883461,1652.112,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=sepformer,R8009_M8019_MS810,faster-whisper,energy_fallback,none,sepformer,zh,cuda,0.33934328358208954,0.3392238805970149,0.9678805970149253,,8375,7185,1278,187,1377,0.8926701570680629,0.9872,0.0024,2,4,0.7696335078534031,0.24137931034482757,382,0.0828547026796206,0.6588564879663796,0.14719842199346705,187.33999999999978,23.559000000000253,382,0.0,0.04712041884816754,382,127.53288221359253,0.0648987952869632,1965.104,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=sepformer,R8009_M8020_MS810,faster-whisper,energy_fallback,none,sepformer,zh,cuda,0.20825515947467166,0.20133677298311445,0.976782363977486,,8528,7738,688,149,939,0.8552036199095022,0.9969,0.0023,2,4,0.5520361990950227,0.13913043478260873,221,0.055363128491616974,0.6256313131313002,0.10172449189077672,125.29999999999961,11.087999999999568,221,0.0,0.04524886877828054,221,113.79607510566711,0.059640048418942875,1908.048,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=none,R8001_M8004_MS801,faster-whisper,energy_fallback,openai,none,zh,cuda,0.6157722818478768,0.6363975734951003,0.9064862342510499,,10715,6714,2189,204,4205,0.5935672514619883,0.8915,0.001,5,7,0.5497076023391813,0.6071428571428571,342,0.3811390629793588,0.7314118225896693,0.5011359396316896,456.3400000000008,237.79900000000018,47,0.2573099415204678,0.017543859649122806,47,1325.4363408088684,0.8445023732636812,1569.488,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=none,R8003_M8001_MS801,faster-whisper,energy_fallback,openai,none,zh,cuda,0.39440902403138794,0.40127513487003436,0.8595389897008338,,10195,8755,1501,540,1980,0.6828087167070218,0.9791,0.0019,5,7,0.5375302663438256,0.5397590361445783,413,0.4394332833583195,0.6279931780394538,0.517058765418158,333.49999999999756,233.36399999999904,45,0.2542372881355932,0.024213075060532687,45,1191.3817789554596,0.5761033747366826,2068.0,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=none,R8007_M8010_MS803,faster-whisper,energy_fallback,openai,none,zh,cuda,0.6833367353881744,0.7726746955160917,0.863849765258216,,14697,7312,2472,93,7478,0.44881889763779526,0.9427,0.0151,5,6,0.5406824146981627,0.6880570409982175,381,0.6199266293444424,0.8087255850125129,0.7018510466622981,1046.74,802.3760000000019,51,0.33858267716535434,0.04199475065616798,51,1930.44455575943,1.04107051103142,1854.288,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=none,R8007_M8011_MS806,faster-whisper,energy_fallback,openai,none,zh,cuda,0.4286221275840653,0.4609173986336616,0.8334664182415047,,11271,9237,1607,595,2629,0.5628571428571428,0.96,0.0166,5,8,0.5228571428571429,0.6263982102908277,350,0.4997854464971318,0.6500054339684707,0.5650823320323121,442.77999999999986,340.45100000000025,44,0.34285714285714286,0.014285714285714285,44,1480.641794204712,0.7964576194973905,1859.034,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=none,R8008_M8013_MS807,faster-whisper,energy_fallback,openai,none,zh,cuda,0.5866040478586604,0.5883931566588393,0.9499049535949905,,8943,6662,2627,169,2450,0.570631970260223,0.8307,0.0,4,5,0.5539033457249071,0.39999999999999997,538,0.2388175719262013,0.47799282136031906,0.31850287346432793,310.0399999999972,154.9039999999998,50,0.09107806691449814,0.027881040892193308,50,1224.7728898525238,0.5478767025808766,2235.49,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=none,R8009_M8018_MS809,faster-whisper,energy_fallback,openai,none,zh,cuda,0.40121980387467115,0.3613967950251136,0.8435780913657019,,8362,8279,1542,865,948,0.7859154929577464,0.9617,0.0002,3,5,0.5408450704225352,0.46204620462046203,355,0.31939810834050836,0.27284546396069814,0.29429217684785264,116.30000000000035,136.14299999999966,43,0.28732394366197184,0.005633802816901409,43,1238.4138486385345,0.7495943668701242,1652.112,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=none,R8009_M8019_MS810,faster-whisper,energy_fallback,openai,none,zh,cuda,0.3399402985074627,0.3392238805970149,0.9685970149253731,,8375,7176,1274,187,1386,0.900523560209424,0.9872,0.0024,2,4,0.7696335078534031,0.24137931034482757,382,0.0828547026796206,0.6588564879663796,0.14719842199346705,187.33999999999978,23.559000000000253,382,0.013089005235602094,0.031413612565445025,382,172.54091691970825,0.08780243535187361,1965.104,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=none,R8009_M8020_MS810,faster-whisper,energy_fallback,openai,none,zh,cuda,0.20837242026266417,0.20133677298311445,0.9771341463414634,,8528,7738,691,148,938,0.8597285067873304,0.9969,0.0023,2,4,0.5520361990950227,0.13913043478260873,221,0.055363128491616974,0.6256313131313002,0.10172449189077672,125.29999999999961,11.087999999999568,221,0.0,0.04524886877828054,221,119.75246334075928,0.06276176665406702,1908.048,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=sepformer,R8001_M8004_MS801,faster-whisper,energy_fallback,openai,sepformer,zh,cuda,0.6172655156322912,0.6363975734951003,0.8861409239384042,,10715,7472,2839,266,3509,0.6491228070175439,0.8918,0.0007,5,6,0.5497076023391813,0.6071428571428571,342,0.3811390629793588,0.7314118225896693,0.5011359396316896,456.3400000000008,237.79900000000018,342,0.0,0.3684210526315789,342,220.08041429519653,0.1402243370418866,1569.488,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=sepformer,R8003_M8001_MS801,faster-whisper,energy_fallback,openai,sepformer,zh,cuda,0.3950956351152526,0.40127513487003436,0.8353114271701815,,10195,9152,1707,639,1682,0.7094430992736077,0.981,0.0,5,6,0.5375302663438256,0.5397590361445783,413,0.4394332833583195,0.6279931780394538,0.517058765418158,333.49999999999756,233.36399999999904,413,0.0,0.3414043583535109,413,252.76415038108826,0.12222637832741212,2068.0,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=sepformer,R8007_M8010_MS803,faster-whisper,energy_fallback,openai,sepformer,zh,cuda,0.6931346533306116,0.7726746955160917,0.8447982581479213,,14697,9421,4583,164,5440,0.5091863517060368,0.9578,0.0,5,4,0.5406824146981627,0.6880570409982175,381,0.6199266293444424,0.8087255850125129,0.7018510466622981,1046.74,802.3760000000019,381,0.0,0.5170603674540682,381,320.8383858203888,0.17302511034984253,1854.288,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=sepformer,R8007_M8011_MS806,faster-whisper,energy_fallback,openai,sepformer,zh,cuda,0.4730724869133174,0.4609173986336616,0.8228196255877916,,11271,10148,2149,1030,2153,0.6514285714285715,0.9644,0.0122,5,6,0.5228571428571429,0.6263982102908277,350,0.4997854464971318,0.6500054339684707,0.5650823320323121,442.77999999999986,340.45100000000025,350,0.0,0.42,350,267.5331153869629,0.14390974849677998,1859.034,0
